,trade_date,close,open,high,low,vol
6283,19980521,1366.656,1356.959,1367.716,1350.26,6761925.0
6284,19980520,1357.431,1362.694,1365.102,1352.166,6720300.0
6285,19980519,1362.292,1370.675,1372.871,1355.539,6231354.0
6286,19980518,1368.183,1373.67,1376.384,1360.469,8261204.0
6287,19980515,1368.087,1373.427,1379.127,1361.843,10216419.0
6288,19980514,1367.127,1373.171,1376.298,1360.891,12367815.0
6289,19980513,1369.262,1351.18,1369.304,1351.003,10200862.0
6290,19980512,1349.649,1358.958,1360.064,1342.733,8679696.0
6291,19980511,1354.606,1367.242,1368.026,1351.593,13421615.0
6292,19980508,1357.595,1324.742,1357.604,1324.724,16861233.0
6293,19980507,1327.873,1348.888,1352.552,1326.65,7958195.0
6294,19980506,1348.412,1352.723,1355.657,1341.806,7638295.0
6295,19980505,1352.52,1355.045,1356.056,1346.592,8019245.0
6296,19980504,1352.926,1353.056,1355.516,1345.359,11036491.0
6297,19980430,1343.448,1336.01,1343.46,1335.549,8858593.0
6298,19980429,1332.499,1337.894,1341.581,1328.563,8270673.0
6299,19980428,1332.99,1315.346,1333.09,1315.328,9589329.0
6300,19980427,1310.378,1314.35,1318.797,1303.482,11064606.0
6301,19980424,1315.167,1324.455,1331.855,1313.609,9704622.0
6302,19980423,1324.559,1337.489,1340.252,1321.04,10653131.0
6303,19980422,1332.182,1307.832,1333.066,1307.832,7902049.0
6304,19980421,1305.223,1296.772,1307.856,1295.058,6563455.0
6305,19980420,1296.005,1292.162,1302.982,1286.585,7377140.0
6306,19980417,1298.107,1311.544,1311.73,1291.081,8786014.0
6307,19980416,1316.246,1324.037,1326.424,1312.565,9441175.0
6308,19980415,1324.707,1314.165,1324.707,1314.068,9554503.0
6309,19980414,1313.721,1318.274,1320.909,1304.375,8553116.0
6310,19980413,1318.748,1319.945,1326.295,1311.832,12145809.0
6311,19980410,1311.514,1294.617,1311.528,1293.588,14626799.0
6312,19980409,1297.225,1326.444,1328.789,1288.888,15117022.0
6313,19980408,1322.793,1303.408,1322.828,1302.413,14139193.0
6314,19980407,1303.14,1308.556,1310.288,1296.542,16278826.0
6315,19980406,1306.378,1291.614,1306.383,1286.43,10207026.0
6316,19980403,1286.084,1268.569,1286.107,1266.032,7910901.0
6317,19980402,1269.015,1259.593,1285.032,1259.583,10312029.0
6318,19980401,1254.965,1243.373,1255.01,1240.058,6222174.0
6319,19980331,1243.016,1251.343,1252.242,1238.644,6091676.0
6320,19980330,1249.435,1230.944,1249.443,1228.299,7296184.0
6321,19980327,1223.565,1189.409,1223.928,1188.855,6828855.0
6322,19980326,1188.865,1191.001,1193.816,1186.223,4520501.0
6323,19980325,1191.553,1207.616,1209.766,1188.853,4125855.0
6324,19980324,1194.017,1180.093,1194.056,1179.973,3519725.0
6325,19980323,1179.869,1186.561,1186.861,1178.044,3610322.0
6326,19980320,1187.501,1188.595,1192.323,1183.247,2789824.0
6327,19980319,1188.715,1192.397,1195.829,1184.871,3359438.0
6328,19980318,1193.909,1204.103,1204.741,1191.906,3622608.0
6329,19980317,1202.835,1193.668,1202.839,1193.239,3733760.0
6330,19980316,1188.482,1186.186,1188.617,1179.44,3018911.0
6331,19980313,1184.961,1177.817,1184.961,1176.005,2331528.0
6332,19980312,1178.97,1187.538,1188.282,1175.554,2504100.0
6333,19980311,1190.037,1201.262,1210.525,1187.442,3655966.0
6334,19980310,1199.832,1199.625,1205.832,1186.551,2980644.0
6335,19980309,1200.834,1207.959,1208.616,1197.569,3091094.0
6336,19980306,1206.452,1208.749,1208.978,1202.124,3085020.0
6337,19980305,1207.541,1217.851,1219.284,1206.372,3223419.0
6338,19980304,1213.253,1204.945,1214.003,1201.254,3595148.0
6339,19980303,1201.789,1186.52,1201.8,1185.303,3561297.0
6340,19980302,1188.306,1196.742,1205.746,1182.612,4843155.0
6341,19980227,1206.53,1209.442,1213.729,1202.865,3582150.0
6342,19980226,1206.674,1193.003,1206.674,1189.519,3147775.0
6343,19980225,1194.673,1208.524,1209.491,1191.751,3428467.0
6344,19980224,1208.218,1206.925,1216.353,1206.09,3526684.0
6345,19980223,1208.603,1217.859,1217.859,1195.888,3807533.0
6346,19980220,1226.02,1234.601,1237.915,1224.584,3159234.0
6347,19980219,1232.584,1229.809,1235.493,1223.932,3300714.0
6348,19980218,1229.831,1239.633,1240.178,1225.497,4614067.0
6349,19980217,1238.5,1234.837,1240.579,1228.111,3525859.0
6350,19980216,1236.236,1246.796,1247.965,1230.918,4615358.0
6351,19980213,1245.911,1246.733,1251.912,1241.824,4097735.0
6352,19980212,1246.295,1253.385,1254.411,1241.996,4749077.0
6353,19980211,1250.238,1234.181,1251.453,1233.53,4815520.0
6354,19980210,1236.513,1248.596,1248.596,1233.698,5324563.0
6355,19980209,1248.04,1257.995,1262.623,1244.426,4358584.0
6356,19980123,1222.913,1206.495,1224.122,1206.454,3580684.0
6357,19980122,1204.43,1200.521,1207.451,1194.383,4361254.0
6358,19980121,1200.203,1201.988,1209.689,1198.228,3032972.0
6359,19980120,1203.715,1211.276,1215.57,1195.382,3129378.0
6360,19980119,1213.129,1215.408,1216.987,1205.479,3262038.0
6361,19980116,1213.962,1215.82,1220.974,1207.919,4120326.0
6362,19980115,1215.431,1210.421,1217.864,1196.148,5539255.0
6363,19980114,1202.215,1170.346,1203.247,1170.322,5703800.0
6364,19980113,1167.647,1211.883,1211.883,1110.087,7194435.0
6365,19980112,1226.966,1242.21,1246.651,1226.397,5739689.0
6366,19980109,1239.901,1233.701,1244.999,1221.297,5357096.0
